"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5414","Markets Oil & Products@regression@smoke","chromium","Wed Apr 30 21:49:46 IST 2025","passed","Wed Apr 30 21:49:51 IST 2025","","amphoramarkets.spec.js","",""
"","3416","Newsletter logindetails@smoke","chromium","Wed Apr 30 21:50:13 IST 2025","passed","Wed Apr 30 21:50:16 IST 2025","","login.spec.js","",""
"","2465","News articles@smoke","chromium","Wed Apr 30 21:50:20 IST 2025","passed","Wed Apr 30 21:50:23 IST 2025","","resources.spec.js","",""
"","2476","Newsletter sign-up@regression@smoke","chromium","Wed Apr 30 21:50:23 IST 2025","passed","Wed Apr 30 21:50:25 IST 2025","","resources.spec.js","",""
"","2520","amphora Freight manager@sanity","chromium","Wed Apr 30 21:49:38 IST 2025","passed","Wed Apr 30 21:49:41 IST 2025","","amphora.spec.js","",""
"","5836","amphora Symphony CTRM @sanity","chromium","Wed Apr 30 21:49:24 IST 2025","passed","Wed Apr 30 21:49:30 IST 2025","","amphora.spec.js","",""
"","3292","amphora VaR Module @regression","chromium","Wed Apr 30 21:49:32 IST 2025","passed","Wed Apr 30 21:49:36 IST 2025","","amphora.spec.js","",""
"","2455","amphora Symphony Credit@sanity","chromium","Wed Apr 30 21:49:43 IST 2025","passed","Wed Apr 30 21:49:46 IST 2025","","amphora.spec.js","",""
"","2467","verify checkbox","chromium","Wed Apr 30 21:50:03 IST 2025","passed","Wed Apr 30 21:50:06 IST 2025","","checkbox.spec.js","",""
"","6022","Markets Renewables@sanity","chromium","Wed Apr 30 21:49:51 IST 2025","passed","Wed Apr 30 21:49:57 IST 2025","","amphoramarkets.spec.js","",""
"","2419","amphora Trade confirmations manager @smoke","chromium","Wed Apr 30 21:49:36 IST 2025","passed","Wed Apr 30 21:49:38 IST 2025","","amphora.spec.js","",""
"","3672","Press Releases@sanity","chromium","Wed Apr 30 21:50:16 IST 2025","passed","Wed Apr 30 21:50:20 IST 2025","","resources.spec.js","",""
"","6174","Markets Petrochemical@smoke","chromium","Wed Apr 30 21:49:57 IST 2025","passed","Wed Apr 30 21:50:03 IST 2025","","amphoramarkets.spec.js","",""
"","2601","amphora Claims manager@regression","chromium","Wed Apr 30 21:49:41 IST 2025","passed","Wed Apr 30 21:49:43 IST 2025","","amphora.spec.js","",""
"","7204","Verify Example","chromium","Wed Apr 30 21:50:06 IST 2025","passed","Wed Apr 30 21:50:13 IST 2025","","example.spec.js","",""
"","2429","amphora Alchemy CTRM @smoke","chromium","Wed Apr 30 21:49:30 IST 2025","passed","Wed Apr 30 21:49:32 IST 2025","","amphora.spec.js","",""
